codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
12-12-0103-46,12-12-0104-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,True,True,True
12-12-0103-46,12-12-0106-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,100.0,False,True,True
12-12-0104-46,12-12-0106-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,100.0,False,True,True
12-18-0036-46,12-18-0037-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,False,True,True
12-22-0003-46,12-22-0023-46,"INSTITUTO TECNOLOGICO ""GERARDI""","INSTITUTO TECNOLOGICO ""GERARDI""",100.0,100.0,False,True,True
12-22-0020-46,12-22-0021-46,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,100.0,100.0,False,True,True
12-22-0020-46,12-22-0024-46,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,100.0,100.0,False,True,True
12-22-0021-46,12-22-0024-46,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,100.0,100.0,False,True,True
12-22-0029-46,12-22-0030-46,COLEGIO AMERICANO,COLEGIO AMERICANO,100.0,100.0,True,True,True
12-14-0029-46,12-14-0031-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,False,True,True
12-24-0038-46,12-24-0039-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,100.0,False,True,True
12-24-0038-46,12-24-0048-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,100.0,False,True,True
12-24-0039-46,12-24-0048-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,100.0,False,True,True
